fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2012,42039.73265,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,1,3,1093524,3
2014,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,1,2,547534.8225,3
2003,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3,10,4277251.09,10
2010,42039.73265,Zero value,NULL,$5 - <$25 million,2175,4126,0,NULL
2010,42039.73265,Zero value,Deobligation,Deobligation,633,849,0,861
2010,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,32,143,23689160.87,151
2001,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,3,22,180233878,22
2013,42039.73265,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,1,3,838837.125,3
2010,42039.73265,$5 - <$25 million,Deobligation,$5 - <$25 million,1,4,9909926,4
2014,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,12,22,0,25
2006,42039.73265,Greater than $500 million,Greater than $500 million,Zero value,1,26,569870768,26
2008,42039.73265,Greater than $500 million,Zero value,$100 - <$500 million,1,47,3018443948,47
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,122,1171,1278394759,1310
2014,42039.73265,$25 - <$100 million,$5 - <$25 million,$25 - <$100 million,2,28,59524669.78,28
2009,42039.73265,Less than $250 thousand,$5 - <$25 million,$250 thousand - <$1 million,1,10,125792.77,10
2009,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,15,32,0,33
2010,42039.73265,Deobligation,Deobligation,Zero value,910,981,-297731393.5,984
2010,42039.73265,Zero value,NULL,Deobligation,608,1700,0,NULL
2010,42039.73265,$100 - <$500 million,Less than $250 thousand,Less than $250 thousand,1,3,111414674,3
2010,42039.73265,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,355,1848,705851415.4,1949
2013,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,273,1191,135017713,1204
2014,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,14,134,189092613.5,139
2014,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,2,2,-832112.16,2
2013,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,30,92,5052249.742,93
2005,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,105,286,1088330580,342
2013,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,36,231,25567441.88,234
2010,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,236,455,27391812.68,467
2009,42039.73265,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,4,14,12891683.08,17
2011,42039.73265,Zero value,Zero value,Zero value,59504,87044,0,89415
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,2602,4325,307653682.8,4428
2002,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,7,13,3504207,13
2013,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,9,65,18438669.48,72
2010,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,52,210,8337634.63,213
2014,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,33,539,1490762607,644
2010,42039.73265,Deobligation,$5 - <$25 million,$5 - <$25 million,6,28,-1916964.15,34
2013,42039.73265,Less than $250 thousand,$5 - <$25 million,Zero value,4,13,304808.8751,14
2011,42039.73265,Deobligation,$250 thousand - <$1 million,Less than $250 thousand,2,16,-55581.48,16
2012,42039.73265,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,2,7,3213640.02,7
2013,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,181,4186,36917347966,7061
2001,42039.73265,Zero value,NULL,Greater than $500 million,11,11,0,NULL
2004,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,10,65,24141240.11,65
2013,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,34,278,63439002.79,353
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,57,257,122301230,259
2014,42039.73265,Less than $250 thousand,Deobligation,Zero value,11,22,567228.2624,22
2014,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,4,46,37598763.82,59
2004,42039.73265,Zero value,NULL,$100 - <$500 million,27,29,0,NULL
2008,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,19,67,8104727.58,67
2005,42039.73265,Less than $250 thousand,Zero value,$100 - <$500 million,1,1,50000,1
2006,42039.73265,Less than $250 thousand,$1 - <$5 million,Deobligation,1,5,182090,5
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,62,116,40646044.41,119
2001,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,1,1,1193938.2,1
2005,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,443,485,0,485
2008,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,32,216,1847058530,524
2010,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,47,74,0,79
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,Less than $250 thousand,11,61,1687006.42,71
2011,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,462,2347,997241050.6,2482
2008,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$1 - <$5 million,1,8,5074763,8
2014,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,5,11,10789131.75,11
2009,42039.73265,Zero value,$100 - <$500 million,Greater than $500 million,1,1,0,1
2005,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,58,68,5504323.1,72
2009,42039.73265,Greater than $500 million,$100 - <$500 million,$25 - <$100 million,1,28,824011425,28
2004,42039.73265,$250 thousand - <$1 million,NULL,Zero value,1,1,667000,NULL
2013,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,41,250,29219375.47,259
2014,42039.73265,Zero value,NULL,$25 - <$100 million,1303,2490,0,NULL
2009,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,1,7,27391635,7
2005,42039.73265,Deobligation,$250 thousand - <$1 million,Zero value,1,2,-407471,2
2002,42039.73265,Less than $250 thousand,NULL,Zero value,1,1,169197.21,NULL
2011,42039.73265,$1 - <$5 million,Deobligation,$1 - <$5 million,1,5,1638816,5
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,6,6,24683.8,8
2011,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,38,368,380363454.2,372
2008,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,1,16,7366622,16
2005,42039.73265,Less than $250 thousand,$1 - <$5 million,Zero value,2,9,266956,9
2000,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,13,22,26244742.77,23
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,4797,18094,48802699807,43069
2006,42039.73265,Greater than $500 million,Zero value,Greater than $500 million,1,27,4000830709,27
2003,42039.73265,Zero value,NULL,$250 thousand - <$1 million,766,783,0,NULL
2012,42039.73265,$250 thousand - <$1 million,Zero value,$1 - <$5 million,1,3,681957.76,3
2007,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,10,37,3874631.82,37
2004,42039.73265,$1 - <$5 million,Less than $250 thousand,Zero value,1,2,1399344,2
2005,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,118,194,6123602.62,194
2001,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,30759,48509,14791669221,49427
2014,42039.73265,Zero value,NULL,Deobligation,742,1832,0,NULL
2013,42039.73265,$1 - <$5 million,$100 - <$500 million,Greater than $500 million,1,5,3752716,5
2009,42039.73265,$100 - <$500 million,$25 - <$100 million,$1 - <$5 million,1,18,184132075.3,18
1998,42039.73265,Zero value,NULL,NULL,361,723,0,732
2013,42039.73265,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,1,11,223437787.5,11
2007,42039.73265,Deobligation,$5 - <$25 million,$5 - <$25 million,9,25,-8098852.65,26
2000,42039.73265,Greater than $500 million,Zero value,Zero value,15,314,14909733965,1549
2010,42039.73265,Deobligation,$250 thousand - <$1 million,Less than $250 thousand,1,4,-35982.57,4
2013,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,860,3332,450165138.4,3392
2002,42039.73265,Zero value,NULL,Less than $250 thousand,616,620,0,NULL
2004,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,5,7,0,7
2004,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,6,18,2864047.58,18
2010,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,374,1865,817236771.4,1918
2000,42039.73265,Zero value,NULL,$25 - <$100 million,4,5,0,NULL
2010,42039.73265,Less than $250 thousand,$1 - <$5 million,Less than $250 thousand,6,25,556357.24,25
2014,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,22,260,880458736.3,264
2008,42039.73265,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,26,353,84323372.37,385
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,7,7,713701.48,8
2008,42039.73265,Zero value,Zero value,Zero value,53820,75409,0,76423
2003,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,11,17,6115490.61,19
2007,42039.73265,Zero value,$5 - <$25 million,Zero value,9,32,0,32
2012,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,12,85,20319637.74,85
2011,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,8,22,88437276.45,22
2013,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,1,11519.7402,1
2003,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,12,25,5923771.77,25
2009,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,6,53,42632055.68,117
2009,42039.73265,$1 - <$5 million,Less than $250 thousand,$1 - <$5 million,1,8,1820415.25,8
2009,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,63,96,0,104
2014,42039.73265,$5 - <$25 million,$25 - <$100 million,Less than $250 thousand,2,40,32350744.61,40
2004,42039.73265,Zero value,NULL,$250 thousand - <$1 million,188,214,0,NULL
2008,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,961502,1096017,24809570544,1127012
2010,42039.73265,$1 - <$5 million,Less than $250 thousand,$1 - <$5 million,2,16,3489087.04,16
2012,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,67,137,47238028.59,143
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,3,5,92469,5
2008,42039.73265,$100 - <$500 million,$100 - <$500 million,Zero value,1,9,133657478.9,9
2006,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,9878,12974,4796674641,21217
2012,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,35,305,321847606,328
2004,42039.73265,$25 - <$100 million,$100 - <$500 million,Deobligation,1,12,28147013,12
1997,42039.73265,$5 - <$25 million,NULL,NULL,2586,43272,26869345354,44024
2012,42039.73265,Deobligation,Deobligation,Deobligation,53348,67461,-6166301300,69904
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,5,58,265049519.1,58
2014,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,97,654,1463292584,718
2011,42039.73265,$25 - <$100 million,Deobligation,Deobligation,17,154,896975375.4,159
2008,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,6,9,0,9
2003,42039.73265,$250 thousand - <$1 million,NULL,Zero value,1,1,667000,NULL
2012,42039.73265,Deobligation,$5 - <$25 million,Deobligation,2,10,-2397065.53,10
2014,42039.73265,Zero value,Less than $250 thousand,Deobligation,12,27,0,27
1991,42039.73265,$250 thousand - <$1 million,NULL,NULL,19354,45842,9519772074,3
2012,42039.73265,Zero value,Zero value,$25 - <$100 million,1,1,0,1
2012,42039.73265,Less than $250 thousand,$100 - <$500 million,$250 thousand - <$1 million,1,2,168231.36,2
2010,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,20,74,-23524179.57,76
2012,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,9,95,160864660.5,158
1990,42039.73265,Greater than $500 million,NULL,NULL,21,372,18372938000,NULL
2013,42039.73265,Zero value,Zero value,Less than $250 thousand,596,743,0,929
2009,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,7,46,25364403.59,46
2002,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,4,7,176074,9
2013,42039.73265,Less than $250 thousand,Zero value,Zero value,3153,5985,241948487.9,6042
2009,42039.73265,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,2,29,414392056,29
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,141,491,302450502.8,506
2008,42039.73265,Zero value,$5 - <$25 million,Zero value,2,3,0,3
2012,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,11,15,0,16
2007,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,9,19,0,19
2006,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,12,17,729082.69,17
2004,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,26,46,2365111.15,46
2013,42039.73265,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,4,41,7874533.481,41
2008,42039.73265,$25 - <$100 million,$5 - <$25 million,$250 thousand - <$1 million,1,5,66099348,5
2005,42039.73265,Less than $250 thousand,$1 - <$5 million,$25 - <$100 million,1,1,25000,1
2001,42039.73265,Zero value,NULL,$100 - <$500 million,5,5,0,NULL
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,201,1989,2010478722,2811
2012,42039.73265,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,2,14,3654754.82,14
2014,42039.73265,Greater than $500 million,Greater than $500 million,$100 - <$500 million,2,173,2509198968,182
2009,42039.73265,Zero value,Deobligation,Zero value,6,7,0,7
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,9,156,185079940.1,163
2003,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,3,995485,3
2001,42039.73265,$1 - <$5 million,$5 - <$25 million,Zero value,1,31,3776187,31
2011,42039.73265,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,127,781,269408566.3,805
2007,42039.73265,Less than $250 thousand,$25 - <$100 million,Greater than $500 million,1,3,99930,3
2011,42039.73265,$100 - <$500 million,Greater than $500 million,$5 - <$25 million,1,116,428267845.4,116
2013,42039.73265,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,3,21,5843706.653,33
2000,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,4,8,2055407.5,8
2008,42039.73265,Deobligation,$100 - <$500 million,$100 - <$500 million,4,16,-783347.89,16
2010,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,32,127,5527725.27,127
2014,42039.73265,Deobligation,Deobligation,$25 - <$100 million,1,1,-2138531.25,1
1989,42039.73265,$1 - <$5 million,NULL,NULL,114,297,225283000,NULL
2007,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,8,13,-368632.76,13
2010,42039.73265,Deobligation,Zero value,Deobligation,10,14,-242592.79,14
2014,42039.73265,$25 - <$100 million,Deobligation,Deobligation,9,144,447474413.5,150
2010,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,30,137,12760779.35,137
2007,42039.73265,Zero value,$1 - <$5 million,$1 - <$5 million,265,380,0,382
2010,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,7,67,120757366.6,72
2005,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,49,123,107263225.4,127
2010,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,39,754,1581906020,775
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,39,117,117195106,129
1999,42039.73265,Deobligation,NULL,NULL,2729,4617,-1362085734,4676
2014,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,3,3,301706.3281,358
2014,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,203,1818,1985244843,1952
2007,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,56,162,30885813.93,169
2013,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,31,115,-20130544.77,121
2011,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,2,9,92007597.45,9
2010,42039.73265,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,5,79,722342643.4,79
2002,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,1,1,176167,1
2011,42039.73265,$5 - <$25 million,Deobligation,Zero value,1,13,16110345.97,34
2008,42039.73265,Zero value,$250 thousand - <$1 million,Less than $250 thousand,2,6,0,6
2005,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,7,20,15974610.71,25
2009,42039.73265,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,19,295,911548594,296
2014,42039.73265,Less than $250 thousand,Zero value,Zero value,2847,5152,210906059.8,5192
2013,42039.73265,$100 - <$500 million,$100 - <$500 million,$1 - <$5 million,2,101,492038000,101
2014,42039.73265,Zero value,Zero value,Less than $250 thousand,1229,1677,0,1717
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,225,430,34534207.91,735
2005,42039.73265,Less than $250 thousand,Zero value,$1 - <$5 million,4,6,506959,6
2002,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,1028,1028,0,1028
2004,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,1,11,216518285,22
2011,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,38,732,1624065098,819
2013,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,2362,4069,296339056.5,4084
2014,42039.73265,Zero value,$1 - <$5 million,Deobligation,4,9,0,9
2009,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$100 - <$500 million,1,1,256181,1
2003,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,8,10,734097.23,10
2005,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,4,4,2850744.06,4
2010,42039.73265,$5 - <$25 million,Deobligation,Zero value,1,14,7505245.19,26
