fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2009,Other Agencies,02:26.4,FRS&C,24,269153.59
2011,DHS,02:26.4,PAMS,2871,412797074.1
2001,Other Agencies,02:26.4,Fuel,22,1400000
2004,HHS,02:26.4,Fuel,23,1470611.73
2000,Other Agencies,02:26.4,ICT,12,902000
2005,Other Agencies,02:26.4,NULL,8,63939.02
2013,State and IAP,02:26.4,R&D,9,111295.97
2002,Other Agencies,02:26.4,Products,2168,575346124
2004,Other Agencies,02:26.4,ERS,16,958327.68
2010,Other Agencies,02:26.4,FRS&C,4,38612.92
2005,Other Agencies,02:26.4,MED,13,538308.85
2010,Other Agencies,02:26.4,ICT,85,8556529.29
2013,GSA,02:26.4,R&D,175,50212591.85
1998,Defense,02:26.4,Fuel,747,3004717790
2004,DHS,02:26.4,ERS,76,19405839.52
2014,Other Agencies,02:26.4,FRS&C,1,9000
2014,Other Agencies,02:26.4,ERS,10,229258.61
2001,Defense,02:26.4,ICT,5085,1593890763
2000,State and IAP,02:26.4,ICT,940,153533639.6
2014,DHS,02:26.4,MED,2,159000
2013,Other Agencies,02:26.4,Products,78,3054021.36
2013,Defense,02:26.4,PAMS,1354,377945971.9
2013,Other Agencies,02:26.4,ERS,30,125578.34
2014,Defense,02:26.4,ERS,2920,89773190.65
2002,Defense,02:26.4,R&D,6976,8477528923
2007,Other Agencies,02:26.4,PAMS,15328,1521175515
2013,Other Agencies,02:26.4,FRS&C,155,7605029.2
2014,Energy,02:26.4,MED,74,20323436.82
2009,Other Agencies,02:26.4,Products,655,70689175.05
2012,Other Agencies,02:26.4,R&D,962,13209721.42
2013,Defense,02:26.4,ICT,33000,4614058026
2000,Other Agencies,02:26.4,PAMS,4745,486791604.9
2007,Other Agencies,02:26.4,ICT,18,548526
2012,Other Agencies,02:26.4,MED,1,10333
2005,DHS,02:26.4,MED,1,2976885.14
2013,Other Agencies,02:26.4,ICT,66,11814497.25
2011,Other Agencies,02:26.4,NULL,19,-8893.5
2005,HHS,02:26.4,Products,28160,2019140834
2008,DHS,02:26.4,FRS&C,373,228992804.5
2009,DHS,02:26.4,R&D,93,64486038.88
2001,State and IAP,02:26.4,NULL,93,18824420.17
2011,Other Agencies,02:26.4,ICT,770,418829961.2
2004,Defense,02:26.4,PAMS,647,263508824.2
2006,Defense,02:26.4,Products,183812,41001773429
2010,Defense,02:26.4,ICT,14327,4189735876
2011,Defense,02:26.4,PAMS,86585,30568401053
2001,Other Agencies,02:26.4,PAMS,2156,231062333.6
2014,Other Agencies,02:26.4,NULL,137,-48415.47
2000,NASA,02:26.4,Products,3014,623458984.9
2000,Other Agencies,02:26.4,PAMS,44,5117000
2007,DHS,02:26.4,Products,1598,173514027.6
2012,Other Agencies,02:26.4,ERS,948,10525827.33
2012,Other Agencies,02:26.4,ICT,113,30331593.93
2014,Other Agencies,02:26.4,ICT,233,90679696.82
2009,Other Agencies,02:26.4,NULL,2,9088
2009,GSA,02:26.4,MED,27,1002542.47
2004,Other Agencies,02:26.4,PAMS,375,44687257
2006,Other Agencies,02:26.4,FRS&C,15596,1012136351
2003,Defense,02:26.4,MED,352,50864795.4
2005,Other Agencies,02:26.4,NULL,1,18018
2009,NASA,02:26.4,MED,118,34803760.87
2013,Other Agencies,02:26.4,R&D,1,900
2014,Other Agencies,02:26.4,NULL,1,0
2002,GSA,02:26.4,ICT,14967,4551276578
2012,State and IAP,02:26.4,PAMS,22781,2634428845
2004,Other Agencies,02:26.4,Products,125,10392536.56
2000,Other Agencies,02:26.4,Products,89,8805000
2008,Other Agencies,02:26.4,R&D,1020,464826117.5
2006,DHS,02:26.4,ERS,725,68200337.94
2000,Defense,02:26.4,FRS&C,479,346509607
2003,Other Agencies,02:26.4,Products,41,3233218
2006,Defense,02:26.4,ERS,8,457963
2010,Defense,02:26.4,Fuel,2043,280561249.4
2014,Other Agencies,02:26.4,Products,36,585796.51
2010,DHS,02:26.4,FRS&C,351,203462945.7
2006,Other Agencies,02:26.4,PAMS,109,3767121.04
2001,Other Agencies,02:26.4,PAMS,854,93206426.3
2012,Defense,02:26.4,ICT,10940,3625558285
2009,State and IAP,02:26.4,ICT,3251,687115655.2
2012,DHS,02:26.4,NULL,41,14005.48
1994,Defense,02:26.4,R&D,5109,3787033262
2011,HHS,02:26.4,MED,7818,2044637626
2013,Other Agencies,02:26.4,FRS&C,1,6000
2000,Other Agencies,02:26.4,ICT,866,240141294
2009,Other Agencies,02:26.4,FRS&C,22,345042.66
2010,State and IAP,02:26.4,NULL,1,11950.42
2011,Other Agencies,02:26.4,Products,3236,809897780.8
2013,GSA,02:26.4,ERS,2808,235382656.9
2013,Other Agencies,02:26.4,Products,3509,744856261.5
2012,Other Agencies,02:26.4,ICT,227,84294491.92
2002,GSA,02:26.4,Fuel,38,1685008.41
2005,DHS,02:26.4,Products,1281,2016335756
2009,DHS,02:26.4,Products,786,309930133.5
2007,Other Agencies,02:26.4,MED,16957,987688761.6
2010,Other Agencies,02:26.4,PAMS,175,5565427.83
1993,Defense,02:26.4,ERS,NULL,49327825
2007,Other Agencies,02:26.4,NULL,38,181702.56
2005,Defense,02:26.4,NULL,3,415117
2007,Other Agencies,02:26.4,NULL,33,237190.9
2003,Other Agencies,02:26.4,R&D,3,441328
2005,Other Agencies,02:26.4,ERS,1118,42071461.01
2002,Other Agencies,02:26.4,FRS&C,2,2747804.88
1996,Defense,02:26.4,R&D,7043,4869480622
2000,Other Agencies,02:26.4,PAMS,2,25000
2007,Other Agencies,02:26.4,NULL,105,805635.97
2006,Other Agencies,02:26.4,NULL,6,70117
2006,NASA,02:26.4,Fuel,208,45691217.05
2000,Energy,02:26.4,ICT,440,112402349
2005,Other Agencies,02:26.4,Products,115,2044170.93
2009,Defense,02:26.4,NULL,4,-12077.81
2004,Other Agencies,02:26.4,PAMS,1982,40776523.73
2009,State and IAP,02:26.4,R&D,1,8400
2001,Other Agencies,02:26.4,MED,3,185000
2009,DHS,02:26.4,ERS,1371,42123366.3
2013,Defense,02:26.4,FRS&C,47,25798217.94
2013,Other Agencies,02:26.4,MED,21588,1443641941
2004,Defense,02:26.4,NULL,237,1969306.04
2005,State and IAP,02:26.4,PAMS,84,11133534.63
2006,Other Agencies,02:26.4,Fuel,348,4628207.96
2005,Defense,02:26.4,Fuel,2347,9497647051
2014,State and IAP,02:26.4,Products,77,88163017.96
2006,Defense,02:26.4,Products,16273,2246699620
2009,Other Agencies,02:26.4,Products,3738,980382219.7
2005,Other Agencies,02:26.4,R&D,47,8057374
2005,Other Agencies,02:26.4,NULL,4,43929.04
2005,State and IAP,02:26.4,FRS&C,2,31928
2012,Defense,02:26.4,ERS,3249,122318412.6
2011,Other Agencies,02:26.4,PAMS,8196,981243469.8
1989,Defense,02:26.4,ERS,NULL,1037000
2004,GSA,02:26.4,ERS,1648,146929750.4
2007,DHS,02:26.4,MED,4,4247102.94
2014,Other Agencies,02:26.4,FRS&C,13,264903.29
2009,Other Agencies,02:26.4,MED,1,7000
2011,HHS,02:26.4,ICT,4459,2446713161
2005,Defense,02:26.4,ICT,12,299883
2005,Other Agencies,02:26.4,R&D,5,23654.43
2002,Other Agencies,02:26.4,ERS,19,1886950
2006,Other Agencies,02:26.4,ERS,3,60181.64
2012,Defense,02:26.4,Fuel,1683,482982505.7
2003,Other Agencies,02:26.4,ERS,16,924962
2002,Defense,02:26.4,PAMS,941,255462818.5
2009,Other Agencies,02:26.4,R&D,4,18500
1997,Defense,02:26.4,Products,32859,3506423019
2011,DHS,02:26.4,ERS,852,6498497.61
2012,Other Agencies,02:26.4,MED,15,38013.48
2008,Other Agencies,02:26.4,FRS&C,16015,1066075122
2004,DHS,02:26.4,NULL,14,177159.75
2002,Energy,02:26.4,ERS,130,7337164
2007,Energy,02:26.4,R&D,446,876792762.7
2004,NASA,02:26.4,Fuel,98,29000332.02
2013,Other Agencies,02:26.4,MED,1,28000
2002,Other Agencies,02:26.4,NULL,1,0
2006,Energy,02:26.4,FRS&C,1879,21081011500
2003,Other Agencies,02:26.4,NULL,98,9732452.83
2008,Other Agencies,02:26.4,ICT,752,112128873.3
2006,State and IAP,02:26.4,R&D,NULL,40914165.4
2013,Other Agencies,02:26.4,FRS&C,175,12986130.52
2006,Other Agencies,02:26.4,ICT,12,523006.35
2007,State and IAP,02:26.4,Products,1715,180113002.3
2002,Other Agencies,02:26.4,ICT,14,2987000
2007,NASA,02:26.4,PAMS,6810,4480888813
2007,Other Agencies,02:26.4,FRS&C,984,790682856.6
1997,Defense,02:26.4,Products,3440,729678573
2014,Other Agencies,02:26.4,MED,4,160901.43
2001,Other Agencies,02:26.4,FRS&C,3478,644344050.2
2004,Other Agencies,02:26.4,PAMS,38,1114548.75
2007,Other Agencies,02:26.4,Products,146,2605003.94
1995,Defense,02:26.4,Products,20461,9523338251
2003,Other Agencies,02:26.4,PAMS,860,92673994.69
2010,Defense,02:26.4,MED,1176,10903187186
2000,Other Agencies,02:26.4,NULL,2,1669000
2007,DHS,02:26.4,Products,632,200002091.2
2013,State and IAP,02:26.4,R&D,10,294179.07
2012,Energy,02:26.4,MED,115,24060797.27
2014,DHS,02:26.4,FRS&C,3678,520230825.5
2012,Other Agencies,02:26.4,PAMS,1221,90127982.07
1995,Other Agencies,02:26.4,Products,18115,1347760107
2009,HHS,02:26.4,MED,7074,1515165923
2013,Other Agencies,02:26.4,ERS,5141,123666635.5
1991,Defense,02:26.4,ERS,NULL,1310462000
2001,Other Agencies,02:26.4,PAMS,12,406000
1999,Defense,02:26.4,PAMS,33,6554553
2003,DHS,02:26.4,PAMS,355,59145346
2005,Other Agencies,02:26.4,FRS&C,2358,277518274
2010,Other Agencies,02:26.4,PAMS,795,78221335.98
2011,Other Agencies,02:26.4,MED,5,12000
2011,DHS,02:26.4,R&D,79,139407138.3
2001,Other Agencies,02:26.4,PAMS,25,1283000
2011,Defense,02:26.4,R&D,2361,3412248650
2001,GSA,02:26.4,FRS&C,24425,4150918550
2011,Other Agencies,02:26.4,Products,2092,77097907.9
2013,DHS,02:26.4,ICT,897,372749843.5
2006,DHS,02:26.4,FRS&C,2903,982086552.3
2013,Defense,02:26.4,FRS&C,23,2637432.216
2004,Defense,02:26.4,FRS&C,262,147449176.8
2014,Defense,02:26.4,Fuel,7,29723.9395
2009,Other Agencies,02:26.4,FRS&C,1,24564
2011,Other Agencies,02:26.4,ICT,123,15575784.43
2012,Other Agencies,02:26.4,NULL,17,7943.37
2014,Other Agencies,02:26.4,ICT,696,129131790
2010,Other Agencies,02:26.4,PAMS,413,45476292.61
1998,Defense,02:26.4,R&D,6002,8169207550
2006,Other Agencies,02:26.4,NULL,20,88283.03
2007,Defense,02:26.4,PAMS,50780,9857937621
2011,Other Agencies,02:26.4,ICT,18,2915998.99
2014,Other Agencies,02:26.4,MED,2,39945.62
2009,Other Agencies,02:26.4,FRS&C,5,30770.65
2004,Defense,02:26.4,ERS,24007,6498655673
1997,Other Agencies,02:26.4,ERS,29,4490396
2009,Other Agencies,02:26.4,ICT,934,134701490
2001,Other Agencies,02:26.4,Fuel,83,3054704
2008,NASA,02:26.4,MED,80,18654209.54
1993,Defense,02:26.4,MED,NULL,421793954
2007,Other Agencies,02:26.4,MED,42,1433191.84
2011,DHS,02:26.4,Products,4102,667745954
2012,HHS,02:26.4,Fuel,174,7049438.94
2011,Other Agencies,02:26.4,PAMS,899,71455105.52
2013,DHS,02:26.4,ICT,558,118665842.8
2006,Defense,02:26.4,ERS,22892,3717519245
2014,DHS,02:26.4,PAMS,1137,413775618.6
2000,Other Agencies,02:26.4,Fuel,20,733000
2003,Defense,02:26.4,ICT,13266,2240515173
2013,Other Agencies,02:26.4,PAMS,173,1343508.87
2002,Other Agencies,02:26.4,R&D,36,10380684.14
2012,Other Agencies,02:26.4,NULL,1,1569
2008,State and IAP,02:26.4,Products,1132,113566940.4
2010,Defense,02:26.4,R&D,17811,13377744231
2001,Defense,02:26.4,ICT,4094,1721461887
2001,Other Agencies,02:26.4,FRS&C,1,35000
2001,Other Agencies,02:26.4,Products,1909,312673251.7
2010,Other Agencies,02:26.4,ICT,1,5715
2002,Other Agencies,02:26.4,Products,3,235000
2004,Other Agencies,02:26.4,Products,658,95117595.32
2000,Other Agencies,02:26.4,PAMS,242,36692829.16
2007,Defense,02:26.4,FRS&C,26818,5888490042
2007,Other Agencies,02:26.4,Products,289,5842053.46
2011,Other Agencies,02:26.4,ICT,745,84217951.15
2004,Defense,02:26.4,MED,593,65318814.24
2005,Other Agencies,02:26.4,Products,212,2270426.36
2005,Other Agencies,02:26.4,NULL,1786,8683595.15
2012,Other Agencies,02:26.4,R&D,1,17000
2009,Other Agencies,02:26.4,Products,366,4685198.56
2014,Other Agencies,02:26.4,ERS,61,3618419.09
2002,Other Agencies,02:26.4,ICT,2349,241764132.5
2013,Energy,02:26.4,MED,85,15917441.73
2003,Other Agencies,02:26.4,FRS&C,17,1599014
2007,DHS,02:26.4,R&D,117,6102256.07
2001,Other Agencies,02:26.4,ERS,401,46196020
2012,GSA,02:26.4,Fuel,144,1356623.86
2008,Other Agencies,02:26.4,ICT,95,14630163.2
1998,Defense,02:26.4,Products,3653,867288840
2004,Other Agencies,02:26.4,R&D,1,16692
1999,Defense,02:26.4,Fuel,736,2543978015
2005,Other Agencies,02:26.4,PAMS,158,583896.39
2011,Defense,02:26.4,MED,1298,11757137550
2002,Other Agencies,02:26.4,Products,7377,2457214915
2013,Other Agencies,02:26.4,Products,14,133649
1999,Defense,02:26.4,ERS,1,58339
2004,Other Agencies,02:26.4,PAMS,1234,147054173.3
2014,Other Agencies,02:26.4,PAMS,1953,38129388.27
2001,Other Agencies,02:26.4,ERS,3,178000
2006,Other Agencies,02:26.4,ERS,1,3100
2009,Other Agencies,02:26.4,R&D,1,152000
2010,Other Agencies,02:26.4,ERS,38,485590.02
2002,Other Agencies,02:26.4,ICT,339,235015823
2012,DHS,02:26.4,PAMS,2191,383796368.7
2013,Other Agencies,02:26.4,MED,25,13921387.9
2008,DHS,02:26.4,R&D,11,-377783.33
2001,Other Agencies,02:26.4,R&D,1,298096.4
2004,Other Agencies,02:26.4,NULL,430,16991492.74
2009,Other Agencies,02:26.4,Products,144860,7282540269
2001,Other Agencies,02:26.4,ICT,1,120000
1990,Defense,02:26.4,ICT,NULL,293161000
1997,Defense,02:26.4,MED,136,15951807
2007,Energy,02:26.4,PAMS,5317,2099483607
2007,State and IAP,02:26.4,Fuel,21,10113056.23
2008,Other Agencies,02:26.4,ICT,5,31545
2012,State and IAP,02:26.4,FRS&C,8861,2668500916
2014,State and IAP,02:26.4,ICT,93,8428867.49
2006,Other Agencies,02:26.4,PAMS,NULL,0
2011,DHS,02:26.4,ERS,433,25858876.09
2006,DHS,02:26.4,ERS,857,15582784.88
2001,Other Agencies,02:26.4,ICT,4,144000
2004,Other Agencies,02:26.4,R&D,391,434320.95
2011,Other Agencies,02:26.4,ICT,1884,176611902.5
2012,Other Agencies,02:26.4,PAMS,288,10114713.47
2005,Other Agencies,02:26.4,Products,11805,1207887355
1999,Defense,02:26.4,ERS,210,37471949
2013,Other Agencies,02:26.4,Products,7,96394.21
2011,Other Agencies,02:26.4,R&D,47,3600458.92
2003,State and IAP,02:26.4,PAMS,3120,887693046
2005,DHS,02:26.4,NULL,13792,95320830.31
2008,Other Agencies,02:26.4,ERS,1,12042
1993,Defense,02:26.4,FRS&C,NULL,94275271
2012,DHS,02:26.4,ERS,1202,27136560.51
2011,Other Agencies,02:26.4,MED,1,6000
2013,Defense,02:26.4,Fuel,139,3400446.59
2009,Other Agencies,02:26.4,NULL,4,18334.87
2005,Other Agencies,02:26.4,NULL,1266,7569002.79
2012,Other Agencies,02:26.4,FRS&C,4963,1329820271
2013,DHS,02:26.4,Fuel,30,823182.45
2001,Other Agencies,02:26.4,PAMS,6650,512733930.5
2013,Other Agencies,02:26.4,ERS,22,354898.74
2009,Defense,02:26.4,FRS&C,13881,603568929.8
2013,DHS,02:26.4,ICT,1134,333913049.2
2011,Other Agencies,02:26.4,Products,7,590544.07
2006,Other Agencies,02:26.4,ERS,1,7178.16
2001,Other Agencies,02:26.4,FRS&C,6,907000
2006,DHS,02:26.4,R&D,56,81771143.05
2008,Energy,02:26.4,FRS&C,2133,18553946019
2010,Other Agencies,02:26.4,ERS,1,0
2008,Other Agencies,02:26.4,ICT,3,26211.53
2007,Other Agencies,02:26.4,R&D,1118,276524998.9
2005,Other Agencies,02:26.4,NULL,3082,33753313.56
2002,Other Agencies,02:26.4,ICT,248,123056903
2003,NASA,02:26.4,NULL,708,9304902.7
2005,Other Agencies,02:26.4,PAMS,17,1647049.3
2009,Other Agencies,02:26.4,Fuel,28,815872.77
2011,Other Agencies,02:26.4,PAMS,96,3271939.23
2006,Other Agencies,02:26.4,ICT,18,230054.23
2007,Defense,02:26.4,R&D,15569,11623245318
2009,Other Agencies,02:26.4,R&D,30,2462774.01
2003,DHS,02:26.4,NULL,747,164450087.1
2005,Other Agencies,02:26.4,MED,1,19111
2007,Other Agencies,02:26.4,NULL,995,8096906.14
2004,Defense,02:26.4,PAMS,51757,17090233738
2010,Defense,02:26.4,Products,89453,24924410918
2003,DHS,02:26.4,NULL,4,494022.72
2006,Other Agencies,02:26.4,FRS&C,7,605587.4
2004,Other Agencies,02:26.4,R&D,12,11988.24
2008,Other Agencies,02:26.4,FRS&C,19191,2956616219
1990,Defense,02:26.4,FRS&C,NULL,3008878000
2004,Other Agencies,02:26.4,PAMS,23,1956462.66
2005,DHS,02:26.4,PAMS,3093,845377649.9
2014,Other Agencies,02:26.4,ICT,25,850806
2000,HHS,02:26.4,PAMS,4916,1254149064
1990,Defense,02:26.4,NULL,NULL,NULL
2012,Other Agencies,02:26.4,PAMS,225,9810731.49
2005,DHS,02:26.4,PAMS,2954,485383832.4
2002,DHS,02:26.4,PAMS,5,32959
2004,Other Agencies,02:26.4,ICT,6,421117.53
2008,DHS,02:26.4,PAMS,1534,428564723.4
2005,Other Agencies,02:26.4,ICT,2,0
2012,Other Agencies,02:26.4,PAMS,29,390984.7
2006,GSA,02:26.4,ERS,2425,157674455.7
2006,Other Agencies,02:26.4,Products,1612,34422324.15
2002,Other Agencies,02:26.4,MED,2,2540000
2003,Other Agencies,02:26.4,PAMS,7,708361
2006,Other Agencies,02:26.4,Products,177,5586498.58
2008,Other Agencies,02:26.4,PAMS,198,12258310.08
2009,Other Agencies,02:26.4,PAMS,10480,959696887.8
2010,Other Agencies,02:26.4,FRS&C,1,0
2012,Other Agencies,02:26.4,MED,581,57567586.97
2008,State and IAP,02:26.4,NULL,9736,71768124.32
2002,Defense,02:26.4,NULL,90,7230472.62
2002,Other Agencies,02:26.4,Products,108,20039000
2008,Other Agencies,02:26.4,NULL,9,40003.73
2004,Defense,02:26.4,PAMS,4671,2170136372
2005,State and IAP,02:26.4,NULL,1,845.75
2006,Other Agencies,02:26.4,Products,335,10987897.96
2006,Other Agencies,02:26.4,Products,314,5901218.18
2007,Other Agencies,02:26.4,FRS&C,72,15005918.99
2003,State and IAP,02:26.4,ERS,4,45148
2011,Other Agencies,02:26.4,FRS&C,66,4990581.45
2014,Other Agencies,02:26.4,FRS&C,11236,890132616.9
2000,Defense,02:26.4,PAMS,24767,6219561585
2010,Other Agencies,02:26.4,FRS&C,40,1707578.94
2014,Other Agencies,02:26.4,ERS,57,493612.95
2004,Defense,02:26.4,PAMS,19,1089731
2002,Other Agencies,02:26.4,Products,19,1744000
2003,Other Agencies,02:26.4,Fuel,13,1280863.2
2003,Other Agencies,02:26.4,R&D,164,25027066.82
2012,Defense,02:26.4,R&D,27,6685309.45
2011,Other Agencies,02:26.4,Products,97,2281087.35
2005,Other Agencies,02:26.4,FRS&C,1510,148598211.1
2011,Other Agencies,02:26.4,NULL,141,-68466.82
2003,Other Agencies,02:26.4,FRS&C,2043,287127574.1
2006,Other Agencies,02:26.4,ERS,16,821805.04
2010,Other Agencies,02:26.4,ICT,3,-39300
2003,Other Agencies,02:26.4,Products,10,557541
2004,Other Agencies,02:26.4,MED,23,638652.05
2011,State and IAP,02:26.4,ICT,3259,776564557.3
2010,Defense,02:26.4,ICT,1918,577144449.1
2005,State and IAP,02:26.4,ICT,3,322830
2010,Defense,02:26.4,ERS,38144,6068063994
2009,Energy,02:26.4,R&D,414,2533303625
2011,Defense,02:26.4,ICT,38439,5598804211
2010,Other Agencies,02:26.4,ERS,4631,190767417.5
2007,Other Agencies,02:26.4,Products,16,607305.01
2014,Other Agencies,02:26.4,Products,515,61832544.75
2001,Energy,02:26.4,PAMS,3507,1089562682
2006,Other Agencies,02:26.4,Products,371,15795075.4
1993,Defense,02:26.4,ERS,NULL,2156581041
2009,Other Agencies,02:26.4,PAMS,21305,2031490837
2005,State and IAP,02:26.4,PAMS,5860,1953379862
2013,Other Agencies,02:26.4,ERS,214,12674541.73
2007,Other Agencies,02:26.4,PAMS,4,69079.77
2011,Other Agencies,02:26.4,PAMS,12829,992890302.2
2003,Defense,02:26.4,NULL,66,2995459.43
2012,Other Agencies,02:26.4,ERS,1,10976.26
2013,Other Agencies,02:26.4,PAMS,424,177393954.1
2013,Defense,02:26.4,Fuel,478,27925132.09
2013,DHS,02:26.4,FRS&C,845,55500560.56
1993,Defense,02:26.4,ICT,NULL,825528584
2002,Defense,02:26.4,PAMS,33294,7210830118
2010,DHS,02:26.4,NULL,3815,15782979.54
2013,DHS,02:26.4,FRS&C,816,529823140.5
2013,Other Agencies,02:26.4,FRS&C,21,3175509.5
2000,Other Agencies,02:26.4,FRS&C,6,868000
2009,Other Agencies,02:26.4,PAMS,22,67092.5
2012,Defense,02:26.4,ICT,1340,486827776.9
2009,Other Agencies,02:26.4,Fuel,1,500
2010,NASA,02:26.4,ERS,907,792795035.8
2005,Other Agencies,02:26.4,Products,10,371997.98
2006,State and IAP,02:26.4,ICT,142,28246810.57
1998,Defense,02:26.4,PAMS,19111,5508109283
2011,State and IAP,02:26.4,MED,2,1062498.53
2013,Other Agencies,02:26.4,R&D,2,16076.17
2014,Other Agencies,02:26.4,NULL,8,961881.35
2011,DHS,02:26.4,R&D,19,8937878.75
2008,State and IAP,02:26.4,Products,3,84511
2001,Other Agencies,02:26.4,MED,17,2405000
2009,Other Agencies,02:26.4,ICT,1158,463781489.4
2013,State and IAP,02:26.4,ERS,4672,407372921.8
2014,Other Agencies,02:26.4,MED,1,3450
2002,Other Agencies,02:26.4,ERS,413,26381061.06
2009,DHS,02:26.4,PAMS,2571,493196280.2
1991,Defense,02:26.4,Products,3,22079233678
2005,Other Agencies,02:26.4,Products,158,23058772.84
2007,Other Agencies,02:26.4,FRS&C,9829,295488488
2013,NASA,02:26.4,R&D,8629,7476501995
2005,Other Agencies,02:26.4,MED,375,6375840.02
2012,Other Agencies,02:26.4,ICT,76,10146741.67
2004,Other Agencies,02:26.4,PAMS,3,0
2012,Other Agencies,02:26.4,R&D,1506,764825557.5
2014,Other Agencies,02:26.4,MED,1390,47760896.94
2008,Defense,02:26.4,Products,93230,25187170061
2004,Other Agencies,02:26.4,FRS&C,187,124379141.8
2011,Other Agencies,02:26.4,PAMS,6196,1338462302
2014,Defense,02:26.4,R&D,10,16245341.99
2006,Defense,02:26.4,PAMS,17,6476288
2013,Other Agencies,02:26.4,FRS&C,59,3584706.118
2000,State and IAP,02:26.4,Products,204,216506964
2004,DHS,02:26.4,ERS,15,1042611.12
2011,Other Agencies,02:26.4,R&D,131,50104382.71
2013,Defense,02:26.4,MED,4874,351650623.9
2001,Other Agencies,02:26.4,Products,883,249109276
2001,State and IAP,02:26.4,FRS&C,55,26317000
2003,Other Agencies,02:26.4,ICT,20,2154222.8
2010,State and IAP,02:26.4,Products,28,972835.19
2000,GSA,02:26.4,Fuel,54,2075000
2004,State and IAP,02:26.4,MED,6,700400
2009,Other Agencies,02:26.4,PAMS,119,3240809.48
2010,Other Agencies,02:26.4,ICT,79,3266779.17
2006,Other Agencies,02:26.4,MED,321,8073437.74
2011,Other Agencies,02:26.4,ERS,4922,112255924.4
2002,Other Agencies,02:26.4,R&D,NULL,0
2012,Other Agencies,02:26.4,ERS,4,146730.4
2001,Other Agencies,02:26.4,R&D,268,7898501
2000,Other Agencies,02:26.4,ICT,397,105619000
2003,Other Agencies,02:26.4,FRS&C,881,126297731.1
2006,DHS,02:26.4,ICT,597,91262584.72
2008,State and IAP,02:26.4,ERS,23,59405.1
2003,GSA,02:26.4,PAMS,12970,2189142828
2009,Other Agencies,02:26.4,NULL,31,-13324.6
1991,Defense,02:26.4,ERS,NULL,78715000
2009,State and IAP,02:26.4,Fuel,1008,23571775.2
2014,Other Agencies,02:26.4,MED,372,107472845.6
2014,Other Agencies,02:26.4,Products,26,824640.63
2002,Other Agencies,02:26.4,NULL,4,432235
2008,Other Agencies,02:26.4,PAMS,701,69504151.44
2010,Other Agencies,02:26.4,ICT,1777,235529297.1
2014,DHS,02:26.4,ERS,1403,19565385.38
2000,Other Agencies,02:26.4,ICT,1477,232391244
2005,Other Agencies,02:26.4,FRS&C,3772,319316981.6
2007,GSA,02:26.4,MED,16,776471.07
1991,Defense,02:26.4,FRS&C,NULL,38480000
2007,Other Agencies,02:26.4,MED,2,28203
2008,Other Agencies,02:26.4,Products,291,6812841.06
2013,Other Agencies,02:26.4,PAMS,55,1980514.51
2008,Other Agencies,02:26.4,PAMS,185,15755890.43
2002,Defense,02:26.4,Products,70824,8350662269
2006,DHS,02:26.4,R&D,121,4661351.24
2012,Other Agencies,02:26.4,ICT,245,28282051.8
2009,Other Agencies,02:26.4,Products,153,3851228.73
2009,Other Agencies,02:26.4,R&D,13,4185024.93
2013,Other Agencies,02:26.4,MED,6,26023.2
2002,Defense,02:26.4,ERS,4637,2907218133
2001,Other Agencies,02:26.4,ICT,412,251393517
2003,Other Agencies,02:26.4,FRS&C,7,878497
2005,NASA,02:26.4,PAMS,5553,4317869467
2001,Other Agencies,02:26.4,R&D,406,59839036.67
2002,Other Agencies,02:26.4,FRS&C,243,90786782
2002,Other Agencies,02:26.4,FRS&C,122,42158909.35
2013,Defense,02:26.4,R&D,2623,3289935616
2001,Other Agencies,02:26.4,R&D,662,115800133.4
2008,Other Agencies,02:26.4,PAMS,238,16861212.15
